inputs,aspects,sentiment
"O hotel é muito simples, não tem elevador, o quarto é mais simples ainda, o banheiro horrível, o pessoal da recepção não é muito simpático, só vale mesmo para quem vai pegar um vôo muito cedo e não quer correr o risco de se atrasar.",quarto,-1.0
Seja para sair andando pela região ou andar até mais longe.,No aspect,
Café da manhã satisfatorio.,No aspect,
"Sinceramente esse hotel quase estragou a minha viagem e da minha esposa, infelizmente não tivemos tempo de fazer uma reserva criteriosa o que nos levou a selecionar esse hotel pois fica perto da Gare do Leste e Gare do Norte, porém o atendimento é horrível, a localização é péssima, parece uma casa mal assombrada, além do fato que parece que você vai se hospedar em uma garagem, ou ainda, em um SEX SHOP, não vou nem citar o barulho horrível, que você escuta cada hóspede que sobre a medíocre escada em caracol.",atendimento,-1.0
Infelizmente tive uma experiência muito ruim com este hotel.,hotel,-1.0
"O hotel é muito bem localizado, com duas estações de metrô (Bastille e Breguet- Sabin) por perto, além de lavanderia, supernercado, bares e restaurantes por perto.",hotel,1.0
"A localização é muito boa, proximo ao metro e esta situada em uma regiao tranquila de Paris proximo inclusive a um bom shopping center.",shopping,1.0
"Sugiro treinamento,pois em qualquer atividade que se faça o relacionamento interpessoal é o que se tem de mais importante para o sucesso do trabalho.",No aspect,
recomendo com certeza o hotel para todos os brasileiros.,No aspect,
muita coisa em volta da pra caminhar..restaurantes..bares...,No aspect,
O único aspecto positivo é a localização.,localização,1.0
Os funcionários são muito simpáticos e alguns até falam portugues.,funcionários,1.0
"Os quartos single, apesar de pequenos, possuem tudo de que se precisa para uma estadia agradavel.",quarto,1.0
"Os atendentes sempre educadores solícitos, o quarto espaçoso e café da manhã ótimo!",café da manhã,1.0
"Excelente localização há duas quadras do rockfeller , quarto limpo, ótimas camas.",localização,1.0
"O hotel é perfeito para casais, muito estiloso, charmoso e super bem posicionado na cidade!!",No aspect,
Os funcionários são atenciosos e o café da manhã também é bom.,funcionários,1.0
O hotel é ótimo!,hotel,1.0
Escolhi este hotel em função das dicas que outros viajantes colocaram aqui no trip advisor.,hotel,1.0
"O unico ponto negativo é o preço alto, mesmo com promoções fica um pouco apertado para o orçamento.",preço,-1.0
"Quanto ao café da manhã que está incluído na diária diria que é bom, com iogurte, frutas, pães e suco, mas nada comparável com o café aqui dos hóteis do Brasil que estamos habituados .",café da manhã,0.0
"Quarto amplo com uma pequena instalação de cozinha com tudo que se precisa, fogão, frigobar, microondas, maquina de lavar louças, utensilios todos que precisar.",quarto,1.0
"Cama confortável, quarto limpo porém pequeno e bom café da manhã..",cama,1.0
Com certeza voltarei a este hotel quando for a NY.,No aspect,
Fizemos o check-out em 29-09 (o check-in foi em 25/9) .,No aspect,
"Os funcionários são bem atenciosos, e o principal, o hotel oferece café da manhã, o que já facilita muito.",funcionários,1.0
"Mas como todos, existe uma cafeteira no quarto.",quarto,1.0
"Embora não fique colado com as atrações turísticas, o hotel localiza-se ao lado de uma estação do metrô.",No aspect,
"Alem disso, o hotel fica em frente a uma estaçao de metro, ou seja, você vai para qualquer canto de paris rapidamente.",No aspect,
"O hotel tem uma excelente localização, fica a 200 metros da Gare de Lyon e próximo ao quartier da Bastille.",hotel,0.0
O que deixa a desejar foi a limpeza do quarto que por ser de carpete o cheiro não era muito agradável assim como o quarto era um quarto velho.,limpeza,-1.0
"O quarto era bom, sem luxo e tinha aquele chuveiro dentro da banheira que tornava o banho desconfortável.",chuveiro,-1.0
"Dentre as grosserias, um recepcionista reclamando do horário do check-out.",horário,-1.0
Chuveiro muito bom.,chuveiro,1.0
"É um hotel ótimo, fiquei 5 dias (vim do Hotel St.James - horroroso), recepcionistas atenciosos,",No aspect,
bairro tranquilo proximo da estacao de metro.muito bom preco pelo servico prestado.,No aspect,
"Fomos com nossa filha de 5 meses e por estarmos com uma criança, o hotel nos colocou num quarto superior ao que havíamos reservado.. SEM CUSTOS EXTRAS.. apenas para que ficássemos mais confortáveis!!",quarto,1.0
O atendimento dos funcionários foi ótimo...,atendimento,1.0
O hotel não oferece café da manhã cortesia e a internet wifi só funciona no lobby do hotel.,café da manhã,0.0
Pessoal da recepção muito atencioso e prestativo ( inclusive ajudando a abrir uma mala cujo cadeado quebrou).,recepção,1.0
"Limpo, com quartos renovados, mas televisão com oferta muito limitada.",quarto,1.0
"Serviço de quarto não vale a pena, os pratos são congelados e pouco saborosos.",serviço de quarto,-1.0
Recomendadíssimo!,No aspect,
"Por estar localizado em uma avenida muito movimentada, ficamos em um quarto de frente para ela, apenas um pouco barulhento, mas nada que prejudicasse o sono.",No aspect,
A localização é EXCELENTE no quartier latin..bairro dos restaurantes e lojas...a 2 minutos a pé até o metrô.,localização,1.0
"Hotel simples, quarto beeem pequeno, banheiro idem (com chuveiro quase em cima do vaso sanitário, sem box), limpo, ar condicionado split, ótimo pra quem precisa dar voltas no centro de POA, e dormir.",chuveiro,-1.0
o bom da rede Accor é que você sabe o que está comprando.,No aspect,
"Sim, tem muita gente a visitar o hotel, mas já era de se esperar.",hotel,1.0
Foi a pior coisa da viagem!,No aspect,
"Wi fi grátis, outro diferencial.",No aspect,
Otimo custo x benefício!!!!,No aspect,
"Bela arquitetura, moderníssima, incluindo todo o prédio: lobby; quartos; restaurante e terraço (com uma bela vista que só os maiores de 21 podem apreciar).",No aspect,
Concierge fala portugues.,No aspect,
"O casino e pequeno, mas bem aparelhado, os restaurantes são ótimos e com bons preços.",No aspect,
Toda a parte de serviço muito bom.,serviço,1.0
"   Tivemos um pequeno problema no primeiro dia em que nosso quarto não foi arrumado, tivemos que pedir na recepção.",No aspect,
"Tinha internet wi-fi de graça nos quartos e na recepção, mas o sinal era horrível na maior parte do tempo.",No aspect,
Realmente valeu a pena.,No aspect,
"Eu e minha esposa estamos muitos satisfeitos com o Hotel Chandler por diversos motivos: Ótima localização, próximo ao Empire State e Broadway; atenção de todos funcionários, sem distinção, em todo o período; quarto muito aconchegante, com chuveiro excelente e itens de conforto de qualidade; limpeza e arrumação dos quartos; custo-benefício insuperável.",funcionários,1.0
"O quarto e o banheiro eram grandes, limpos e bem arrumado todos os dias.",quarto,1.0
Os únicos problemas são a internet muito lenta e o espaço para café da manhã minúsculo.,café da manhã,-1.0
"Fujam se nao quiserem voltar toda mordida por insetos, se nao quiserem usar banheiros imundos.",No aspect,
Os recepcionistas são atenciosos e o hotel dispõe de muitos recursos.,No aspect,
"O hotel é longe de tudo, os banheiros sao compartilhados no corredor, sujo e feridos.",corredor,0.0
"A Chilena Monica, gerente do hotel, é de uma simpatia impar.",gerente,1.0
"Programe-se para o chek-out, pois embora o hotel disponha de muitos funcionários as filas são muito grande.",No aspect,
Jantar no hotel custa caro (e vem pouco).,jantar,-1.0
"Após mostrar meu cartão do A|Club a recepcionista concordou em nos hospedar, porém antes ela pediu um cartão de credito para fazer a garantia da hospedagem.",No aspect,
"Para quem tem rinite, aquele carpete é horrível!",carpete,-1.0
Estive hospedada no hotel por uma semana com minha mãe (70 anos) e filha (5 anos).,No aspect,
"Localização razoável - o hotel fica distante dos principais pontos turísticos da capital francesa, mas em compensação tem estações de metrô que levam o viajante a qualquer parte da cidade.",cidade,0.0
A limpeza do quarto deixou a desejar.,limpeza,-1.0
"A portaria do hotel é muito limpa, bonita e organizada, já o restante do hotel não acompanha este padrão.",padrão,0.0
O tratamento com os hospedes também é exemplar.,No aspect,
"Estivemos hospedados 6 noites e digo que tivemos uma boa surpresa ao chegarmos no quarto, pois além de limpo, confortável achamos de bom tamanho, meus filhos, sobrinha, tia e sogra ficaram em outro quarto muito confortavel também.",quarto,1.0
"A localização do hotel é privilegiada, contudo a miniatura do apartamento causa um certo desconforto para o hóspede.",localização,1.0
"Voltaremos outras vezes, com certeza.",No aspect,
"Room Tip: Escolha os quartos próximos dos elevadores, pois encontrar os mais afastados pode se tornar uma aven...",No aspect,
A localização não poderia ser melhor de frente ao Bellagio e Caesar Palace e ao lado do Paris.,localização,1.0
"Péssimo colchão, péssimos lençois e toalhas, não foi realizado nenhuma limpeza no quarto durante os 5 dias que nos hospedamos.",limpeza,-1.0
"Hotel limpo, com boa localização, funcionários atenciosos e prestativos!",hotel,1.0
"Eles pintaram as portas do quarto enquanto eu estava hospedado, logo tive que sentir cheiro de tinta por um tempo.",No aspect,
"Enfim, nunca mais.",No aspect,
Custo beneficio vale a pena.,No aspect,
Camareiras arrumam o quarto por volta das 16 hs da tarde!,quarto,0.0
"Desvantagens: não tem elevador, escada de madeira muito barulhenta na madrugada, localizado em uma região de bares com grande movimento a noite, funcionários que praticamente não falam inglês.",funcionários,-1.0
"Com nova gerência o empreendimento prima pelo melhoramento em serviço e a prova disso foi a minha descoberta de que estava num hotel como eu gosto quase lotado, apartamentos de ótimo padrão embora pequenos, mas para o executivo a trabalho não há necessidade de mais, Arrumação e Limpeza BOA e a tempo e Horas o que nem sempre se encontra.",limpeza,1.0
"Alguns quartos tem banheiro individual, nos demais o banheiro é coletivo.",No aspect,
"Aconchegante: o quarto, as camas, travesseiros e edredons são um convite ao descanso.",quarto,1.0
"Já estou preparando meu retorno, em breve.",No aspect,
Os quartos são super confortáveis.,No aspect,
A cama é ótima...até estranhei a cama de casa quando voltei....kkkkkk.,cama,1.0
Room Tip: Os quartos acabados em 07 ficam para o interior o que é mais sucegado....,No aspect,
"E nao podemos esquecer o restaurante tanto no cafe da manha como para almoçar e jantar hiper, super, mega BOM.",jantar,1.0
"Os quartos são excelentes, tudo novo, limpo e confortável.",No aspect,
"Da janela do quarto voce consegue ver a torre eiffel e caso queira consegue ir andando ate a torre, ou se preferir pegue o metro que fica a 100 metros do hotel.",quarto,1.0
Ótimo pra quem viaja com crianças.,No aspect,
Quartos à prova de som.,No aspect,
"Quando voltar à Paris, ficarei nesse hotel novamente!!",No aspect,
vale pelo conjunto e localizacao...,No aspect,
"O cassino não é muito cheio, o que no meu ponto de vista é ótimo!",cassino,1.0
"Room Tip: Nos ficamos no apartamento superior, com bom espaço no quarto!!!",apartamento,1.0
"Aliás, se for levar crianças pra Vegas, repense sua viagem.",No aspect,
Café da manhã muito bom e com variedade de pratos.,café da manhã,1.0
Recomendo.,No aspect,
"Excelente hotel, atendimento, localização, café da manhã e acomodações de primeira!",café da manhã,1.0
"Quartos simples e bem pequenos com banheiro meia boca, ar condicionado algumas vezes barulhento, café da manha bem basico, e a internet, pasmem, 12 reais por 24h.",internet,0.0
Marcio Amorim,No aspect,
Room Tip: Mesmo ficando nos apartamentos mais simples vc estará super bem instalado pois os aptos são bem deco...,apartamento,1.0
"Você vai a pé para os teatros, restaurantes, lojas e tudo o mais.",teatro,0.0
"As instalações do hotel são muito boas, satisfazendo o viajante simples, sem necessidade de luxo.",luxo,0.0
- conforto (hotel sem mofo e sem cara de antigo),conforto,1.0
"Sente-se o tempo inteiro o clima italiano, sendo possivel, inclusive, fazer um passeio de gôndola pelo hotel com gondoleiros importados diretamente da verdadeira Veneza.",No aspect,
O hotel fica muito bem posicionado ao lado da Champs Elysees mas a rua dele é pequena e tinha uma construção que deixava o aspecto feio.,hotel,0.0
". Como mineiro, sabe receber muito nem, e vai ajudar você em qualquer dificuldade, alem de dar dicas preciosas de como aproveitar melhor a estadia.",No aspect,
"As toalhas de banho parecem pano de chão, não há tolha de rosto, não há secador.",No aspect,
"Quartos espaçosos e confortáveis, tudo limpo e organizado.",No aspect,
"O atendimento é personalizado e apesar de não ter uma recepção tradicional, fomos muito bem acessorados pela gerência.",gerência,1.0
"Hotel confortável, elegante e muito bem localizado, entre a quinta e a sexta avenidas.",hotel,1.0
"O hotel ainda possui boas opções de alimentação e diversão, além de ser bem localizado.",No aspect,
"Fizemos reserva com 15 dias de antecedência, chegamos na madruga e não havia a nossa reserva e o hotel sem vagas, e olhe que nos foi confirmado a vaga por email, o porteiro com educação ( única coisa que achamos legal, Sr José) nos indicou um hotel péssimo e muito inferior ao real, impossível de hospedar,onde tinha até pessoas dormindo na calçada em frente a portaria, além da bagunça na rua, retornamos no mesmo hotel (real) e nos foi indicado um novo hotel, só que não fomos ressarcidos da diferença de valor, somente da primeira estadia...",hotel,-1.0
"Excelente localização: rua tranquila, próxima de restaurantes e dando para ir à pé à Torre Eiffel (1,5km) e Arco do Triunfo (cerca de 900m).",rua,1.0
"Atendimento pessoal muito educado, quartos sempre bem limpos.",quarto,1.0
Tive o azar de pegar uma convencao no hotel e paguei um pouco mais caro.,hotel,0.0
"As acomodações são otimas, tanto o apto duplo como o quadruplo.",No aspect,
Banheiro com mofo.,No aspect,
"Os apartamentos amplos e confortáveis são equipados com ar-condicionado, frigobar, telefone, cama box spring, mesa de trabalho, wi-fi grátis, recepção 24 horas e estacionamento.",apartamento,1.0
"Em relação aos quartos, mesmo para o padrão proposto pela rede IBIS, não são minúsculos.",quarto,1.0
"Pequeno almoço sem grande variedade, mas suficiente.",No aspect,
Vale a pena!!,No aspect,
"Apesar de nao muito grandes, os quartos e banheiros são modernos, bonitos e bem decorados.",quarto,1.0
"Padrão Ibis - em todo lugar é bom, simples, sem luxo.",padrão,1.0
A equipe do hotel foi solícita e atenciosa.,No aspect,
"Na recepção (noturna), o Abdel (espero estar correto) foi um caso à parte: totalmente atencioso, sempre disposto a nos ajudar; ao contrário dos atendentes do café da manhã (bem servido, com poucas opções, mas com produtos de ótima qualidade).",café da manhã,1.0
Acho aconselhável que a vigilância sanitária faça uma vistoria nesse hotel.,No aspect,
"Excelente Localização, Bem organizado, instalações novas e bem conservadas.",localização,1.0
"EU fiquei uma semana neste hotel, é maravilhoso, confortável e tem ótima localização, quem estiver disponivel para caminhar, vai a pé para o louvre, moulan rouge, hotel de ville, catedral de notre dame,.",localização,1.0
"A recepção era ampla e bem decorada, os funcionários atenciosos.",recepção,1.0
"Nos demais aspectos de instalação para descanso entre as atividades de lazer pela cidade são bem satisfatórias e atendem perfeitamente aquilo que o hospede espera (boa cama, bom quarto, bom chuveiro, excelente café da manhã e um bom loby.",cidade,0.0
"A localização deste hotel não poderia ser melhor, na Rue Cambon, próxima à Rue de Rivoli e a duas quadras da Place de La Concorde.",hotel,1.0
"A localização é realmente imbatível, mas os quartos sao velhos e sujos, tinha nojo de dormir naquele colchão.",quarto,-1.0
"O hotel precisa passar urgentemente por reforma, o hotel serve para quem está de passagem pela cidade só para dormir, como foi o meu caso.",cidade,0.0
"Quartos limpos, renovados, bom atendimento e localização imbatível.",localização,1.0
Limpo.,No aspect,
Estive em Paris por poucos dias e a localização do hotel facilitou muito a minha visita.,hotel,0.0
vale a pena pra quem nao pode gastar muito.,No aspect,
"E pertinho da Torre Eiffel (do hotel para a torre e uma subida), com metro próximo, e padarias com deliciosos croissants!!",No aspect,
"Quartos reformados sem carpete mas minusculo, somente cabe uma pessoa.",quarto,-1.0
Banheiros pequenos com box da ducha minúsculos.,ducha,-1.0
Ótima localização e serviço muito bom!,serviço,1.0
Hotel excelente!,hotel,1.0
Estação de metrô (várias linhas) há um quarteirão.,No aspect,
"A diária não é cara e fomos muito bem atendidos, mesmo falando em inglês algumas vezes.",No aspect,
"Localizado no Centro de Porto Alegre, ele fica próximo à um dos principais ponto turístico, Casa de Cultura Mário Quintana, assim como próximo de shoppings como o Rua da Praia!",praia,0.0
"Quartos bons, duas camas queen.",quarto,1.0
"Mas mantém a mesma qualidade em termos de roupagem, camas, café da manhã, atendimento dos funcionários etc...",atendimento,1.0
"o bar é excelente, os funcionarios do hotel tratam a gente com a maior simpatia e cortesia, se esforçam para nos entender e fazem de tudo para sentirmos na nossa casa.",No aspect,
Os quartos são pequenos.,quarto,-1.0
"Com decoração extravagante, meio asiática , vermelho, ouro, luxo, tudo se encaixa e faz sentido.",No aspect,
Terá de fazer viagens se suas malas forem grandes),No aspect,
Shopping logo ao lado com boas lojas como supermercado carrefour.,shopping,1.0
"A única coisa que não gostei foi do banheiro do quarto, pois o vaso sanitário fica separado do banheiro propriamente dito, onde há chuveiro, banheira e pia.",banheira,0.0
"Otimo atendimento, bons quartos, bom preço, otimo cafe da manha.",atendimento,1.0
Gostei muito do hotel.,hotel,1.0
"A cama é boa, café da manha bem servido.",No aspect,
"Os apartamentos tem bom espaço, bem decorados e o banheiro, apesar de um pouco pequeno, é muito bom.",apartamento,1.0
"Foi um hotel com menor custo que encontrei em NYC, que fosse limpo e bem localizado.",hotel,1.0
- Serviço de recepção muito ruim a noite;,serviço,-1.0
Escolhi ficar próxima da praça da Bastille por saber que conseguiria andar e ficar próxima de quase tudo.,praça,1.0
Recomendo muito especialmente para casais.,No aspect,
"Estivemos no Bellagio em lua de mel, o quarto foi virado para a fonte, inesquecível.",quarto,1.0
Não volto a me hospedar neste hotel.,hotel,-1.0
Tem ainda o trenzinho que passa atrás no hotel.,No aspect,
"Cama confortável, colchão não dá nor nas costas, muito bom!!!",cama,1.0
"o elevador estava quebrado,tive que descer seis andares com as malas pela escada.",escada,0.0
"A única crítica real é quanto ao chuveiro, muito colado a parede, pelo menos no quarto em q eu fiquei (516), era complicado tomar banho dessa forma.",chuveiro,-1.0
"A localização é ótima, limpeza ótima e também o atendimento.",atendimento,1.0
"É caro, mas é bom.",No aspect,
Nossa sorte foi que havia uma brasileira la.,No aspect,
O hotel tinha um cheiro forte.,No aspect,
"Frigobar bom e completo, banheiro com chuveiro muito bom (quesito essencial no inverno!) e sistema de calefação pra secagem de roupas.",calefação,1.0
Limpeza impecável.,limpeza,1.0
A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também.,cama,-1.0
"Quando entramos no quarto, tinha uma poça no chão.",No aspect,
"Nivel do atendimento: fui fazer o check-in e a recepcionista falou para eu pagar apenas um dia, porque geralmente as pessoas não gostam do hotel e não ficam o final de semana todo.",No aspect,
Voltaria.,No aspect,
Informações úteis na recepção.,recepção,1.0
"Chegamos no hotel e a recepcionista nos recebeu pelo nome sem antes perguntar, o atendimento até parece que você não está em Paris onde na maioria dos lugares você é muito mal atendido!",atendimento,1.0
"Gosto muito dos hoteis do Grupo Accor, especialmente os Hotéis com a marca Ibis, mas este hotel especialmente tem funcionários extremamente mal educados e sem nenhuma disposição para dar suporte ao hospéde, realmente uma decepção, agem como se não tivessem a obrigação de atender com educação aos hospédes.",funcionários,-1.0
"O quarto foi super espaçoso, para 04 adultos, com uma cama de casal e um sofá cama suuuper confortável!",cama,1.0
"O serviço também é excelente, funcionários simpáticos e quartos reformados no estilo parisiense de ser.",serviço,1.0
"O apartamento é pequeno porém bem confortável, roupas de cama de qualidade, climatização e banheiro funcionando perfeitamente!",No aspect,
"Muito boalocalizaçao, proximo a Times Square e 10 minutos da maioria das landmarks de MAnhattan.",No aspect,
Há estação de metrô bem próxima do hotel.,hotel,1.0
Chegamos no Novotel com a certeza que seria tudo bem por se tratar de um 4 estrelas renomado.,No aspect,
"Apesar de barato, mesmo assim não vale a pena, nem para pernoitar para o dia seguinte, pois não dá para descansar, visto que o barulho da rua chegava todo no meu quarto,",rua,0.0
"A/C não funcionava muito bem, antigo e barulhento.",No aspect,
"Ficamos hospedados por 3 noites com nossos filhos (07 e 02 anos), do dia 13.12.12 a 16.12.12.",No aspect,
O restaurante além de ser lindissimo tem um chef com tres estrelas michelin e é imperdível.,No aspect,
"Gostamos muito do hotel, tudo pertinho: Times Square, teatros da broadway, 5th avenida, fomos a esses lugares tudo a pé.",teatro,1.0
Preço bom para a localização e para os padrões de Paris.,preço,1.0
"Ficamos hospedados 1 noite ótimo quarto tudo novo, camas excelentes frigobar completo, atendimento bom, muito silencioso e ar condicionado split",atendimento,1.0
"O hotel está muito bem localizado, perto da Times Square, que é o local de maior agito, perto do ponto inicial dos onibus turisticos que fazem o percurso de toda New York e o principal existem um restaurante brasileiro há menos de 100 metros do hotel, o que é bom pra quem tem saudades do arroz e feijão do Brasil.",hotel,1.0
"Ele não fica na Strip, mas lado a lado com Aria e Bellagio.",No aspect,
"Não há cassino neste hotel, mas ele tem acesso direto ao Bellagio, ao Aria e ai trem que conduz aos outros hoteis.",No aspect,
"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",quarto,-1.0
Não conheci a piscina e nem o spa.,piscina,0.0
banheiro de tamanho razoável.,No aspect,
"Piscina muito boa e animada, com dj.",piscina,1.0
Horrível!,No aspect,
"O Hotel está bem localizado, próximo ao metrô e ao RER, a 10 minutos a pé da Tour Eiffel e o nosso quarto tinha vista para o Rio Senna, lindo!",quarto,1.0
Atendimento muito bom pela maioria dos funcionários.,atendimento,1.0
Valeu!,No aspect,
O hotel passou por reforma recentemente e está novinho.,hotel,1.0
"Excelente equipe de funcionários, simpáticos e solícitos; café da manhã muito satisfatório;",funcionários,1.0
O atendimento poderia ser melhor.,No aspect,
Os funcionários são super atenciosos e arranham no português!,funcionários,1.0
"É relativamente bem localizado, porem com quartos bem simples e antigos.",quarto,-1.0
"O cafe da manha eh razoavel, mas o suficiente.",No aspect,
O café da manhã é simples.,café da manhã,1.0
"Meu filho de 10 anos é cadeirante, por isto locomoção e praticiadade é muito importante para nós.",No aspect,
Não recomendo para famílias.,famílias,0.0
O quarto era gigante e super confortável.,quarto,1.0
Sujo e pouca higienie.,No aspect,
"Super recomendo pra quem vai sozinho, pra quem não é enorme, pois banheiro e toalhas são pequenos, esses são os únicos pontos negativos alias.",toalha,-1.0
A recepção do Hotel é boa todos os colaboradores que trabalham na recepção são muito simpáticos e atenciosos.,recepção,1.0
O único ponto negativo é o serviço de quarto que chegou a não acontecer em dois dias de nossa estada de 7 dias.,serviço de quarto,-1.0
"Não é tão distante da Calçada da Fama, que é um dos points da cidade.",cidade,0.0
O Hotel esta super bem localizado na 50th.,hotel,1.0
"Bom preço face a outras ofertas, nomeadamente hosteis.",preço,1.0
"Tradicional mas um pouco ultrapassado hotel em boa localização no centro financeiro da cidade de Porto Algre Ótimo atendimento, mas quartos necessitando modernização.",localização,1.0
"Hotel velho, funcionários mal educados, roupa de cama rasgada, tudo cheirando a mofo, cassino sem manutenção nas máquinas.",cassino,-1.0
Me hospedaria neste hotel novamente.,No aspect,
"O quarto de bom tamanho, mais muito antigo, faltava uma reforma, mais o mais importante o café da manhã com bolos e pães amanhecidos, leite aguado, não recomendo.",quarto,-1.0
Otimo hotel para quem deseja apenas um local para descansar.,hotel,1.0
O atendimento feito pelos recepcionistas também foi execelente.,atendimento,1.0
"Falei com a recepcionista, mas não houve solução.",No aspect,
"Limpos, camas macias (eu prefiro colchões mais firmes).",No aspect,
"Funcionários gentis, quartos novos e limpos (não são enormes, mas coube nossas 4 malas!), internet wi fi de graça, na esquina da rua tem uma estação de metrô e um Starbucks.",quarto,1.0
Saldo muito positivo.,No aspect,
Hotel muito bom a um preço razoável.,No aspect,
"O Ibis Cambronne é um hotel que fica bem perto do metrô, o que facilita muito o acesso a todos os lugares de Paris.",hotel,1.0
"O funcionário Mourad foi excelente e simpático nos ajudando a encontrar os lugares, a transportar as malas e a encontrar um transporte de volta para o aeroporto.",No aspect,
"E dependendo da época, é possível obter boas tarifas (fiz minha reserva pelo booking.com).",No aspect,
"O nosso quarto era pequeno, com cama queen, mas muito confortável!",quarto,1.0
Fui caminhando até as galerias Lafayette.,No aspect,
"Além disso, fica em frente a uma saída de metro, próximo de bares e lojas e ainda assim não tivemos problemas com barulho durante a nossa estadia.",No aspect,
A insonorização é péssima.,No aspect,
Gostamos do Café da Manhã e fomos bem atendidos.,café da manhã,1.0
"Fiquei hospedada lá pela localização, é perto do aeroporto e eles fazem o serviço de transfer.",localização,-1.0
"katia piva,",No aspect,
O ar condicionado/aquecedor era velho e não funcionava direito.,No aspect,
"Está a duas quadras da badalação do Boulervard Saint Germain, mas numa praça tranqüila.",praça,1.0
O hotel cujo o nome já faz a sua avaliação.,hotel,0.0
"Estive em janeiro 2013, este hotel e para quem quer (BBB) bom, bonito e barato este é o lugar, localização excelente x preço muito bom, com um bom café da manhã (leite- sucos - pães - frutas - Yorgutes - etc.) mas eu sinceramente achei um pouco apertado, mas se acordar cedo, é mais tranquilo, boa cama, ele tem um closet separada com porta que é muito bom, pois o quarto fica organizado, banheiro tamanho bom.",café da manhã,1.0
Vale a pena.,No aspect,
"Por ficar proximo a gar du nort, essa hotel se presta para um so noite.",hotel,-1.0
O serviço e o cassino são ótimos.,serviço,1.0
"Os apartamentos são bons, limpos, embora sejam muito escuros.",apartamento,1.0
Kit de ammenities é uma delícia!,No aspect,
Se você vai sozinho para NY e não quer ficar em hostel e dividir o quarto com várias pessoas esse hotel é uma ótima opção.,hotel,1.0
"O Casino do hotel é pequeno e bem iluminado, com aroma de baunilha, utilizado para amenizar o cheiro de cigarro, charuto, etc., o que torna o ambiente agradável!",No aspect,
