inputs,aspects,sentiment
A relação qualidade/preço é péssima.,No aspect,None
A vizinhança é esquisita e o quarto do hotel é muito pequeno.,quarto,-1
A vizinhança é esquisita e o quarto do hotel é muito pequeno.,hotel,0
O cobertor da cama cheirava a urina e o banheiro também fedia.,cama,-1
Os empregados do hotel são extremamente mal-educados e grossieros.,No aspect,None
Não recomendo de maneira alguma!,No aspect,None
"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",hotel,1
"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",localização,1
"O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.",internet,1
"O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.",quarto,1
"O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.",café da manhã,1
"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",atendimento,1
"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",tv,1
"Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.",elevador,1
Acabo de chegar de New York e tudo esteve perfeito.,No aspect,None
Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.,No aspect,None
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?",localização,1
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?",hotel,1
Seus atendentes e serviços são bem básicos e objetivos.,serviço,0
O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,café da manhã,1
O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,serviço de quarto,-1
O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.,limpeza,-1
"Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores.",preço,1
"Os quartos eram limpos e novos, porém um pouco pequenos.",quarto,1
"Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente.",cama,0
"Se volta à NY, definitivamente pretendo ficar novamente no hotel.",hotel,1
Adorei minha estadia no Sheraton New York.,No aspect,None
"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",localização,1
"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",atendimento,1
"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.",hotel,1
Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema.,recepção,1
"Hotel confortável, decoração bonita e um serviço muito bom.",No aspect,None
"Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão.",No aspect,None
Recomendo.,No aspect,None
"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar.",localização,-1
"Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio.",cidade,1
"O quarto, apesar de pequeno, muito confortável e bonito!",quarto,1
"Com um serviço de limpeza impecável, foi uma estadia bem agradável.",serviço,1
"Com um serviço de limpeza impecável, foi uma estadia bem agradável.",limpeza,1
"Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",No aspect,None
"Apesar de boa localização, um dos piores hotéis que já fiquei.",localização,1
"Os elevadores já são pequenos, quartos também.",elevador,-1
"Os elevadores já são pequenos, quartos também.",quarto,-1
A limpeza é falha.,limpeza,-1
"Quartos mal limpos, funcionários cheirando muito mal e também mal-educados.",funcionários,-1
"Dentre as grosserias, um recepcionista reclamando do horário do check-out.",horário,-1
Impossível de recomendar o hotel para um amigo.,hotel,-1
Perde todo o padrão Ibis.,No aspect,None
"Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo.",No aspect,None
"o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.",hotel,0
"o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.",elevador,0
A recepção fica num ângula que nem vê quem entra e sai..,recepção,-1
"Apesar dos quartos serem bem pequenos, achei limpos e possibiltam sono agradável.",No aspect,None
"É muito distante dos pontos turísticos de Paris, apesar de estação de metro próximo, perde-se muito tempo com deslocamento.",No aspect,None
Vi até um testando a fechadura de um quarto para ver se não estava aberto...,No aspect,None
Dá certa insegurança...,No aspect,None
"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",atendimento,1
"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",quarto,1
"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",café da manhã,1
"Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.",elevador,1
"Passamos 4 excelentes noites e voltaremos à Paris um dia e pretendemos ir para lá novamente, pois a relação custo-benefício é recompensadora.",custo-benefício,1
"Eu , mulher e filha ficamos muito satisfeitos com o hotel.",hotel,1
"Room Tip: Ficamos no 22, de frente para a rua, que é tranquila e segura, pois é próximo da residência oficial...",rua,1
Banheiro sem box com chuveiro que vazava água pelas juntas.,chuveiro,-1
O colchão era muito ruim e deformado e havia muito barulho nos corredores.,colchão,-1
O chão do quarto estava bastante sujo e engordurado.,No aspect,None
Não trocaram as toalhas e tinha um barata no banheiro.,No aspect,None
"Apesar do hotel ficar bem perto de uma estação de metrô, o local da cidade não é bom.",No aspect,None
"Boa localização, em bairro silencioso.",localização,1
Bom café da manhã e atendimento atencioso.,café da manhã,1
Bom café da manhã e atendimento atencioso.,atendimento,1
"Em relação aos quartos, mesmo para o padrão proposto pela rede IBIS, não são minúsculos.",quarto,1
Acomodam bem um casal.,casal,1
"A conexão de Internet funcionou muito bem, mas conta apenas com uma estação comunitária.",internet,1
"Transporte próximo, metrô a três ruas de distância e trens na Gare Montparnasse.",No aspect,None
Não utilizamos ônibus.,No aspect,None
"Muitas opções próximas para escolha de restaurantes (não turísticos) , mercado e frutaria.",No aspect,None
WIFI gratuita.,No aspect,None
"Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...",apartamento,1
"Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...",cama,1
Bateram na porta e minha esposa gritou que tinha alguém dentro do quarto mas mesmo assim sem permissão um funcionário da manutenção do hotel entrou no quarto para pegar um teclado de computado.,hotel,1
"Mas este não foi o maior problema pois não estamos livres destes deslizes acontecer, o problema maior foi a forma como a chefia da recepção agiu pois, quando fui reclamar, a chefe da recepção simplesmente disse que tinha mandado o funcionário fazer o que fez e que era normal ele entrar nos quartos com hospedes se trocando.",recepção,-1
Chegamos no Novotel com a certeza que seria tudo bem por se tratar de um 4 estrelas renomado.,No aspect,None
Fomos bem recebidos e tudo ocorria tranquilamente quando no 3 dia de hospedagem eu tive de sair e minha esposa ficou sozinha no quarto.,No aspect,None
Neste momento minha esposa estava se trocando e não deu a mínima e entrou de forma apressada e abrupta.,No aspect,None
"Eu retruquei que por enquanto que o quartos estivesse com as diárias pagas pelos hóspedes, os mesmos tinham de respeitar nossa privacidade pois não se entra em quartos de hotel com os hóspedes dentro, citei até a camareira que todas as vezes que estávamos no quarto voltava depois.",No aspect,None
Achei que a maneira simplória que ela tratou o assunto não foi a de um hotel do nível que esperava encontrar no Novotel.,No aspect,None
Não posso tolerar o descaso para um problema como este pois quando estamos em um quarto de hotel precisamos ter nossa privacidade preservada e a chefe da recepção tratar o problema da forma que tratou foi realmente repugnante e acho que nunca mais voltarei à um Novotel pois pagamos caro para termos o conforto e a confiabilidade de um hotel renomado e com 4 estrelas.,No aspect,None
"Sabemos que pequenos deslizes podem acontecer mas sei também que têm de ser resolvidos de maneira satisfatória e rápida e não da forma que foi conduzida pela recepçãoo do Novotel pois se fosse da maneira que ela disse a camareira não precisaria bater, simplesmente entraria para fazer a arrumação quer estivéssemos dormindo ou não.",No aspect,None
Fiquei muito decepcionado com a maneira que o Hotel se posicionou perante o problema.,No aspect,None
"Com certeza, a pior experiência que tivemos em um Hotel.",hotel,-1
"Ele esta em Péssimas condições de conservação, desde a ducha do banheiro que nao saia água, as paredes descascadas.",ducha,-1
Funcionários despreparados e nada simpáticos.,funcionários,-1
"No check out, queriam nos cobras € 100 , dizendo que quebramos a tampa do vaso sanitário, e ainda diziam que teria sido das duas suites( estávamos em quarto conjugado)... Um completo absurdo, nem sequer utilizamos o 2.",quarto,-1
Banheiro e mto menos quebramos nada.,No aspect,None
"A recepcionista levantou a voz afirmando que teríamos que pagar SIM, e que no caso chamaria a camareira para resolver conosco... Um completo despreparo e descaso pelo hospede.",No aspect,None
"A camareira obviamente Nao apareceu e depois da longa discussao, concordaram que estavam errados... UM DESASTRE TOTAL!!!!!!!",No aspect,None
"O Room Service alem de Nao ter opções, encerra mto cedo.",No aspect,None
NAO RECOMENDO A NINGUÉM!!!,No aspect,None
"nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!",ducha,-1
"nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!",hotel,-1
Comentar o que e de que?,No aspect,None
"nao sejam enrolados, nao acredite na propaganda disto.",No aspect,None
Estivemos hospedados no hotel no mês de abril/2012 e só temos elogios a fazer.,hotel,1
"Demorei muito pra fazer essa avaliação, mas certamente não poderia deixar de fazê-lo.",No aspect,None
O hotel é muito bem localizado e as pessoas são extremamente gentis.,No aspect,None
"Agradecemos, nominalmente às senhoritas Carolin, Juicy e Jesica que sempre estiveram dispostas a nos atender com total presteza.",No aspect,None
Certamente retornarei em muito breve!,No aspect,None
"É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!",café da manhã,-1
"É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!",quarto,-1
"A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.",localização,1
"A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.",lojas,1
Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.,apartamento,1
Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.,corredor,0
"É um hotel de 4 estrelas, mas não parece.",No aspect,None
A conexão wifi deve pegar em todos os quartos.,quarto,0
Deveriam ter serviço de laundromatic self service.,serviço,0
Eles tem um equipamento bem localizado mas que precisa de reparos.,No aspect,None
Deve ter frigorbar em todos os quartos e devem repor água todo dia.,No aspect,None
Carlos,No aspect,None
Quartos enormes e confortáveis.,quarto,1
Funcionários atenciosos.,funcionários,1
Buffet do hotel barato e variado.,hotel,1
Room Tip: Os apartamentos altos virados para o sul tem vista espetacular para o Paris e o show de águas do Bel...,apartamento,1
"Em frente a Bellagio e Caesars e vizinho do Paris, no coração da Strip.",No aspect,None
Ótimo ponto de partida tanto para a parte sul quanto norte da avenida.,No aspect,None
Custo benefício excelente se comparado a seus vizinhos.,No aspect,None
"Não tem o nome de alguns outros, mas sem dúvida vale indicação.",No aspect,None
"Em se tratando de Nova York, é um preço bem razoável.",preço,1
"A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.",localização,1
"A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.",quarto,1
"O único porém é que o atendimento da recepção não é muito amigável e em 3 dias que fiquei lá, não repuseram o shampoo e o sabonete!",recepção,-1
"O banheiro é muito bonito, aconchegante.",No aspect,None
"A sorte é que eu comprei shampoo e sabonete por lá mesmo, no Walmart....",No aspect,None
Room Tip: Peça quartos perto do elevador.,No aspect,None
O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).,hotel,-1
O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).,quarto,-1
Pasme que a janela do chuveiro tem visão para o corredor do Hotel e para a escada de incêndio.,chuveiro,-1
O estacionamento é um roubo ( 57 dólares).,estacionamento,-1
O local do café da manhã são dois quartos de porta aberta e cabe apenas 6 pessoas.,café da manhã,-1
Este foi um dos piores hotéis que já me hospedei.,No aspect,None
"Se puder chamar aquilo de quarto, pois cabe você ou as malas.",No aspect,None
Basta abrir a persiana do corredor que podem assistir você tomando banho (Veja a foto).,No aspect,None
Não sei como o Tripadvisor premiou este hotel.,No aspect,None
Realmente é jogar dinheiro fora.,No aspect,None
Room Tip: A dica que vou adicionar a quem quer conhecer New York e Manhatan é de hospedar aos redores da cidad...,No aspect,None
"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",hotel,-1
"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",elevador,-1
"ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..",escada,-1
"HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS .",No aspect,None
NÃO RECOMENDO A NENHUM VIAJANTE..,No aspect,None
"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.",hotel,1
"Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.",serviço,1
Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .,No aspect,None
Estive com minha familia hospedado neste hotel.,hotel,0
Muito precário o serviço.,serviço,-1
A unica coisa que funciona bem é a internet.,internet,1
Sujo e pouca higienie.,No aspect,None
Nao recomendo para ninguém ficamos alérgicos a picada de inseto.,No aspect,None
Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita.,hotel,1
"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",quarto,1
"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",cama,1
"Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.",travesseiro,1
Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.,apartamento,1
Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.,cozinha,1
"Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos.",No aspect,None
Room Tip: Vale a pena pegar um apartamento com sala e cozinha.,No aspect,None
O café da manhã oferecido só tem muffins (de muitos sabores).,café da manhã,0
É lindo o hotel e muito bem localizado.,hotel,1
Estive no Yotel em julho/2011.,No aspect,None
"Novinho em folha, cabines sao pequenas mas confortáveis.",No aspect,None
"Em cada andar, uma copa contendo forno de microondas, frigobar, maquina de café capuccino, chá , chocolate, água , gelo...tudo Free à disposição dos hóspedes.",No aspect,None
Há tbem maquina para comprar refrigerantes.,No aspect,None
O atendimento foi horrível.,atendimento,-1
Tínhamos reservado um quarto pra três pessoas e o quarto que nos foi dado mal cabia 2 pessoas.,quarto,-1
Estivemos lá em 2008.,No aspect,None
"Ficamos no mesmo prédio do bistrot, não conseguíamos dormir por causa do barulho, as paredes são tão finas que parece que a pessoa que sobe a escada está entrando no teu quarto.",No aspect,None
"Tivemos a impressão que por sermos brasileiras, nos foi dado o pior quarto e sem a menor preocupação de nos antender ....",No aspect,None
"Felizmente, no dia seguinte, conseguimos um hotel bem melhor nas proximidades e nos mudamos.",No aspect,None
"Pelo menos, eles nos devolveram o dinheiro que já havíamos pago pelas estadias que não usufruímos.",No aspect,None
Não recomendo pra ninguém !!!!,No aspect,None
Muito menos pra brasileiros ...somos discriminados lá !,No aspect,None
"Eu e minha filha ficamos num quarto no sótão, mínimo, como uma caixa de papel, e qulaquer movimento no quarto ao lado era ouvido dentro do nosso quarto.",quarto,-1
As cortinas estavam empoeiradas embora o quarto e o banheiro estivessem limpos.,cortina,-1
"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",localização,-1
"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",hotel,-1
"Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes",rua,-1
Staff deu várias informações erradas para nós.,No aspect,None
"O hotel é barulhento, nao com o barulho da rua mas dos proprios hospedes.",rua,1
Eu me senti enganada pelas fotos no site.,No aspect,None
O hotel é bem localizado e o pessoal da recepcao é muito atencioso porem o hotel esta em reforma e a manutencao é pessima.,No aspect,None
Os quartos sao escuros e o servico de limpeza deixa a desejar.,No aspect,None
Banheiro com mofo.,No aspect,None
"Apesar da reforma, o carpete nao foi trocado!",No aspect,None
"O cafe da manha é fraco, mas seria satisfatorio nao fosse a falta de cuidado com os alimentos.",No aspect,None
Pao descoberto e encostando na parede mofada.,No aspect,None
Eu nao tive coragem de tomar cafe da manha ali apesar de ja estar incluido na minha diaria.,No aspect,None
"Qualquer movimento no quarto ao lado ou a cima, voce escuta.",No aspect,None
Eu nao volto e nao recomendo.,No aspect,None
"Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.",atendimento,1
"Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.",localização,1
Room Tip: Todos os quartos são bons e silenciosos as janelas são blindadas evitando som externo,quarto,1
"Perto de tudo e de locais estratégicos, como teatro, lojas, metro.",No aspect,None
Voltaremos assim que tivermos chance!,No aspect,None
Recomendo!,No aspect,None
Excelente localização.,localização,1
Ja estive nesse hotel por 3 vezes.,hotel,1
Ponto negativo: Nao sai agua do chuveiro e sim um spray de agua...,chuveiro,-1
"Preparado para receber brasileiros que nao dominam o idioma ingles, os funcionarios tem paciencia para tentar compreender.",No aspect,None
"Melhor vaso sanitario que ja usei na vida, o sistema de descarga parece uma bomba de sucção!!!",No aspect,None
Queira uma dessas na minha casa!,No aspect,None
O Buffet do hotel é muito fraco!,No aspect,None
Visite outros principalmente o do Aria e Bellagio,No aspect,None
O personnel de housekeeping parece ser agora terceirizado e a limpeza dos utensilios de cozinha deixa um pouco a desejar.,limpeza,-1
"Room Tip: Todos os quartos são bons, espaçosos, excelente iluminação e decoração clean",iluminação,1
Excelente location no East side.,No aspect,None
Excelente personnel!,No aspect,None
Dá para ir ao Central Park andando.,No aspect,None
Bem próximo tem um excelente supermercado Food Emporium.,No aspect,None
Ao sair do quarto não deixe de avisar no front desk que vc gostaria de ter o quarto arrumado.,No aspect,None
"O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.",hotel,1
"O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.",localização,1
Fomos muito bem atendidos durante todo o periodo com exceção dos serviços de Concierge.,serviço,1
Ficamos no periodo de 25.01.12 a 10.02.12 em uma reserva de ultima hora.,No aspect,None
O qaurto era confortavel e possui uma mini-cozinha com geladeira e forno de micro-ondas pro cafe da manhã.,No aspect,None
Recomendo e ficaria la novamente.,No aspect,None
"Foi um hotel com menor custo que encontrei em NYC, que fosse limpo e bem localizado.",hotel,1
"O cafe da manha era mt bom, assim como atendimento do bar.",atendimento,1
A recepção de madrugada era pessima.,recepção,-1
"voltaria pelo preço, mas pensaria desse pessimo serviço de recepção.",preço,1
Fiquei no Pod 51 em NYC em maio de 2012.,No aspect,None
"O banheiro foi compartilhado, estava sempre limpo e não tinha filas.",No aspect,None
Sempre que precisava estava vazio e limpo.,No aspect,None
Pedi para me acordarem para pegar o aviao e não fizeram.,No aspect,None
"Estava esperando o transfer para aeroporto e um cara, q trabalhava no hotel me perguntou o q estava fazendo ali.",No aspect,None
Falei q estava esperando o transfer e ele perguntou qual era meu quarto.,No aspect,None
Acho q ele pensou e não fosse hospede.,No aspect,None
Foi grosso e bem antipatico.,No aspect,None
"Respondi que era hospede, q tinha acabado de fazer o check out e estava esperando para ir embora.",No aspect,None
Respondi no mesmo tom q ele.,No aspect,None
Ele pediu desculpas e saiu.,No aspect,None
A moça da recepçao viu e nao fez nada!,No aspect,None
"Qd cheguei o cara da recepçao falou q havia chegado bem antes da hora do check in, e eu respondi: eu avisei isso na hora da reserva.",No aspect,None
"Enfim, depois de umas 2 hrs consegui entrar no quarto, q era pequeno, mas agradavel.",No aspect,None
"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",hotel,1
"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",quarto,-1
"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",cama,1
"Fiquei por duas noites no hotel, não tenho do que reclamar, fica próximo a Torre Eiffel...o quarto e o banheiro são bem pequenos, mas a cama é super confortável e a ducha é ótima!",ducha,1
