inputs;aspects;sentiment
Quanto à localização, o hotel fica próximo às catacumbas e ao metro. Quanto aos serviços, estes são simples e deixam a desejar quanto à qualidade da limpeza, mas tem funcionários atenciosos e prestativos. Quanto às acomodações, os quartos são pequenos, não possuem ar condicionado, tem uma acústica ruim, pois logo abaixo há uma pizzaria e o vai e vem de motos incomoda bastante, fui em setembro, mesmo não sendo verão, o calor era infernal.;funcionários;1
Estive com meus filhos jovens por 5 semanas, os meninos estudando e eu uma mãe muito feliz! Gostei muito do serviço, os funcionários muito atenciosos, bom café da manhã, jantar de seg. a quinta de cortesia. Para quem quiser se sentir em casa, podendo preparar suas refeições, com serviço de lavanderia, office e Van transporte até Strip e mais...eu recomendo!;café da manhã;1
Estou muito satisfeita com este hotel, apesar de tê-lo escolhido pq era um dos poucos que aceitava 5 pessoas no mesmo quarto. Excelente café da manhã e excelente localização. O único inconveniente foi termos encontrado uma meia debaixo das cortinas quando chegamos. Resolvi deixar a meia no mesmo lugar e... a meia continuou lá os 5 dias da nossa estadia!! Zero para a faxina!!!;café da manhã;0
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.;localização;1
Estive com meu marido em agosto de 2012 e adoramos esse hotel. Quarto de tamanho muito bom com cama e colchão excelente, ótimos ármários e o que escolhemos tinha saleta com sofá, mesa office e tv. O café da manhã é incrível e com funcionários que falam portugues e espnõl. A decoração é um luxo, bem no estilo parisiense. E além de tudo a 3 quadras da Torre Eiffel e a 4 do Arco do Triunfo. Adoramos!;hotel;1
Hotel antigo com quartos amplos e super bem localizado. Pedi um quarto voltado para a Strip e me deram um quarto que ficava de frente com a torre Eiffel do hotel Paris, dava pra ver o show das águas do Bellagio! Não tomei café da manhã no hotel mas me falaram que o buffet não valia a pena pelo valor.;café da manhã;0
Para o preço o serviço é EXELENTE. Finalmente um conceito de Hotel barato com a qualidade de um Hotel de Luxo.  Fica perto dos transportes, comboio, bus e metro e a 5 minutos do Centro Paris.  Depois pertence ao prestigiado Grupo ACCOR.  Room Tip: Ficar no último piso é muito bom e calmo para descnsar;hotel;1
Hotel bem localizado, mas bem simples também. Café da manhã normal, sem novidade. Atendimento muito bom. Interessante para quem trabalha no centro como era o meu caso. Fica perto da Av Sen Salgado filho onde trabalho.;hotel;0
Hotel central ,acolhedor e pessoal duma simpatia extrema sempre sorridentes e prestáveis,  Pode~se ir a pé para para muitos locais nomeadamente o centro .Metro á porta para quem chega do aeroporto ou pretende deslocar-se para todos os pontos da cidade  Muitos restaurantes em redor ,  Não tem ar condicionado mas é arejado e limpo.Voltarei com certeza;cidade;0
Vi o hotel pelo site e pela Montreal(plano de hospedagens) e parecia um bom lugar. Existe um ponto forte no hotel, o quarto é branco e razoável. Mas a localização é horrível mesmo, assustadora, prostitutas usam o hotel para receber os clientes e etc. Fiquei um dia, porque ja tinha chegado tarde, paguei no show feliz. Hospedem-se na cidade baixa ou no bairro moinhos de vento, o preço é quase igual e a qualidade muito diferente.;hotel;-1
Excelente localização com vista da janela do apartamento para a Tour Eiffel. Quarto amplo com uma pequena instalação de cozinha com tudo que se precisa, fogão, frigobar, microondas, maquina de lavar louças, utensilios todos que precisar. Banheiro amplo com banheira, chuveiro excelente. Não utilizamos o serviço de quarto, mas não fez falta, ficamos 6 dias.;chuveiro;1
O hotel é excelente: aconchegante, confortável, bem localizado. O complexo é muito grande, com shopping, restaurantes, atrações como Blue Man Group e Fastasma da Ópera dentro do hotel. E, para finalizar, o passeio de gôndola veneziana por um rio que corre por dentro do hotel, entre os restaurantes. Recomendadíssimo!;shopping;1
A localização é realmente imbatível, mas os quartos sao velhos e sujos, tinha nojo de dormir naquele colchão. Tinha uma senhora que servia o café da manha que era insuportável, num dos dias estava tomando café da manha com meu marido e ela deixou cair uma sache de manteiga no chão no momento que estava limpando as mesas. Ela achou que o meu marido havia derrubado no chão e pegou o pote e esfregou no nariz dele. Típica educação francesa. Fiquei impressionada...;quarto;1
Hotel relativamente perto do Menino Deus (bairro do Shopping Praia de Belas). Quarto bem grande, limpo, mas sem luxo. Colchão bem ruim (muito murcho) e travesseiros ruins também. Banheiro razoável, pois o chuveiro é bem mais ou menos. Café da manhã farto e bem gostoso em alguns dias e em outros, nem tanto. Custo-benefício bacana dependendo de onde você irá frequentar, pois precisará de táxi para se deslocar. Mas, atendentes muito solícitos e educados. GOSTEI!;café da manhã;0
Apesar dos quartos serem bem pequenos, achei limpos e possibiltam sono agradável. É muito distante dos pontos turísticos de Paris, apesar de estação de metro próximo, perde-se muito tempo com deslocamento. o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira. Vi até um testando a fechadura de um quarto para ver se não estava aberto... Dá certa insegurança... A recepção fica num ângula que nem vê quem entra e sai..;recepção;0
O Hotel está muito bem localizado. Seja para sair andando pela região ou andar até mais longe. Acesso ao metrô e ônibus muito próximo. Ao lado do Le Procope e quase na esquina com o Boulevard Saint-Germain. O quarto e pequeno, mas para o padrão de Paris é confortável. O banheiro é reformado, bem funcional, exceto pelo secador de cabelo que minha esposa reclamou da falta de potência. Pessoal atencioso na recepção.;hotel;1
quarto pequeno, mas aconchegante. Faltou frigobar no quarto e tomada no banheiro, para poder usar pranchas, baby liss... Proximo a saida do metro, rapido acesso ao centro. Recepcionistas educados e simpaticos. Saldo muito positivo. Para quem abre mao do luxo e quer algo simples mas com qualidade, esta bem indicado.;quarto;-1
Acomodações simples, mas bem limpas. Atendimento bom. As salas para eventos são meio apertadas e limitadas. A localização é muito boa, perto de tudo no Centro. Café bom. O hotel fica na Andradas e não tem estacionamento. Tem que deixar o carro próximo.;hotel;1
Otima localizacao, muito perto das principais atracoes turisticas da cidade. Os funcionarios sao muito atenciosos tambem. O cafe da manha eh razoavel, mas o suficiente. Camas confortaveis e quarto com tamanho razoavel em comparacao aos quartos dos hoteis de NYC.  Room Tip: Proximo a times square, rockfeller center e central park. Excelente custo beneficio.;quarto;1
Conheci o hotelpelo Booking.com e foi uma ótima escolha.  Profissionais que falavam inglês e francês.   Café da manhã não apresentou nada demais e preferia comer fora.   Limpeza e gentileza o tempo todo.  Ponto ruim: sem elevador!  Mas amei o ponto em que se localiza e toda a competência dos profissionais!  Room Tip: as suítes de final 1 geralmente são maiores e deixam clientes com família nesses. já os de final 5...;elevador;1
Primeiro ponto: A localização é muito boa, facilitando o acesso aos demais pontos da cidade Segundo ponto: A receptividade por parte dos funcionários também é boa Terceiro ponto: A estrutura do prédio é consideravelmente boa, um ponto negativo é em relação ao prédio ao lado, pois o mesmo transfere um mal cheiro no corredor para acesso aos quartos Quarto ponto: A internet poderia ser melhor, nem sempre consegui acesso.;internet;0
Fiquei 7 dias com minha mulher. Adoramos. Quarto limpo e confortável. Banheiro muito bom. Café da manhã maravilhoso.. e o melhor: A alguns metros da estação do Metrô Gare de Lyon que te leva aos 4 cantos de Paris. Confesso que pretendo voltar várias vezes ainda à Paris e o Novotel Gare de Lyon com certeza será nosso local de descanso.   Muitas audades de lá...;quarto;1
O hotel está localizado a duas quadras do metro e próximo a praça Itália porém, o banheiro é péssimo, pessoas normais são mais altas que o teto do banheiro - difícil de tomar banho. A cama é boa e limpa. O elevador é para uma pessoa e uma mala pequena e cheira queimado. wi-fi grátis.;elevador;0
Para quem precisar de pegar avião bem cedo como eu tive que fazer, este é o melhor hotel de Porto Alegre, bem baratinho e muito perto do aeroporto, os quartos são equipados com ar-condicionado e tv, de manhã é oferecido um café da manhã reforçado, fica a dica.;tv;0
"Esse é um hotel onde vc pode usar todos os benefícios. A segurança não apenas no hotel, mas nas imediações, por conta do prédio das Nações Unidas, é perfeita; o hotel oferece todo o conforto de um grande estabelecimento; o atendimento é primoroso; e fica numa área onde é fácil conseguir bares e restaurantes.  Room Tip: Como o hotel começa no 28º andar, todos os quartos apresentam sempre uma bela visão de NY.";hotel;1
O hotel é bom, limpo, bem localizado, mas faltam algumas coisas. Não tem frigobar no quarto, nem microondas. A internet é por cabo (o que não conecta celular nem IPAD). Os quartos são limpos, a cama é boa, quarto com bom espaço, o banheiro podia ter uma manutenção melhor,o chuveiro ficava um bom tempo pingando e as toalhas eram velhas e tinham cheiro estranho. No geral bom hotel, ficaria perfeito se melhorassem esses pontos!;chuveiro;-1
Bem localizado, ao lado da estação de metrô, de lojas interessantes, locais para alimentação.  Limpo e organizado. Quarto grande, com cafeteira para fazer café expresso incluso, assim como a água engarrafada.Funcionários prestativos ajudando com informações, se necessário. Wi-fi grátis. Fácil acesso para caminhar até mesmo para Times Square. Recomendável;funcionários;1
Venho de chegar de minha viagem de Paris, Passei 10 dias nesse maravilhoso hotel. Os funcionarios todos muito bem educados e sempre pronto para nos ajudar na escolha de restaurantes, passeios etc.  E nao podemos esquecer o restaurante tanto no cafe da manha como para almoçar e jantar hiper, super, mega BOM.  Nao vejo a hora de retornar.  MERCI!!!;hotel;1
Hotel fantástico, bem localizado, limpo, lindo, quarto, cama, banheiro gigantes, maravilhosa a vista do hotel para Strip, piscina maravilhosa com cascata, shows com golfinhos, tigres,,,mulheres rsrs, drinks inesquecíveis... impossível não comparar com os outros hotéis... Super recomendado!!!  Room Tip: Escolha um com cama King, com vista para a Strip!;quarto;1
Bonito: os móveis e a decoração são de extremo bom gosto, com equipamentos novos e funcionando perfeitamente.  Aconchegante: o quarto, as camas, travesseiros e edredons são um convite ao descanso.  Super bem localizado: perto do melhor da cidade - fazíamos tudo a pé.  Atendimento e serviço nota 10: tudo limpíssimo, sempre arrumado, desde a recepção até o quarto. Atendimento do lobby, concierge e serviço de quarto nota 10!  Não tivemos nenhum problema, não houve do que reclamar. Excelente!;serviço de quarto;1
Estivemos cinco dias neste Hotel com um casal amigo nosso, e nós os 4 adoramos. Ficamos no 407 e 507 que sao virados para o inetrior. Não tinhamos vista mas era muito tranquilo. Não se ouvia barulho vindo da rua. Estava bastante frio, mas o ar condicionado do quarto era excelente. O serviço de limpeza era muito bom, como todo o pessoal do hotel... Funcionarios amaveis e prestaveis. Simplismente Adoramos.  Room Tip: Os quartos acabados em 07 ficam para o interior o que é mais sucegado....;limpeza;1
Hotel localizado em ponto estratégico de Paris. A poucos metros do Metrô. café da manhã é fraco (como na maioria dos hotéis da cidade), mas há varias opções nas proximidades. Está a urna distancia de muitos pontos turísticos. Quartos são pequenos (muito comum em Paris), prefira os quartos superiores, com vista para o boulevard. Uma funcionaria da recepção entende português, o que facilita a comunicação, mas todos são bastante solícitos e prestativos. Recomendo.  Room Tip: Quartos superiores.;hotel;1
O Audran fica pertinho do metrô e de Sacre-couer. Além de ter restaurantes próximos. Fiquei em quarto duplo, para dormir e descansar ele é ótimo, com um estilo clássico. Não tomamos café da manhã no hotel. O pessoal é muito simpático, não tivemos problemas. O hotel é barato, ficamos 4 dias, porém, as coisas em Paris são muito caras - água e comida. Tem wifi.;quarto;1
Achei o hotel muito bem localizado. O tratamento foi ótimo. Quando cheguei já estavam com as minhas encomendas, que haviam chegado da compra que fiz pela internet. Fiquei no quarto padrão com banheira, que é grande para os padrões de NY! Achei a cama muito confortável e o quarto era limpo. O iPad que fica no quarto ajuda muito, voce pode navegar pela internet através dele. Estava lá durante a passagem do furacão Sandy e me senti segura. Foram superatenciosos. Ficaria lá de novo com certeza!;quarto;1
No meio da Strip, ao lado do Paris e em frente do Bellagio. Quarto amplo e confortável. Claro, com ampla janela. Banheiro limpo, bem iluminado e com trocas de toalhas diárias. Sem cheiro de cigarro. Internet paga(14 dólares). Ampla área de piscina. Lojas e fast foods no mesmo andar da piscina. Preço bom. Recomendo.;quarto;0
Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos. Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.;jantar;-1
Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem. Passamos 4 excelentes noites e voltaremos à Paris um dia e pretendemos ir para lá novamente, pois a relação custo-benefício é recompensadora. Eu , mulher e filha ficamos muito satisfeitos com o hotel. Room Tip: Ficamos no 22, de frente para a rua, que é tranquila e segura, pois é próximo da residência oficial...;atendimento;1
Excelente custo/benefício e localização impecável. A linha do ônibus do aeroporto Orly fica a poucos metros e a estação do metrô também. Meu apartamento ficava de frente para rua e acabei sofrendo um pouco com o barulho de carros a partir das 07 horas da manhã. Tem uma padaria bem próxima ao hotel e um supermercado (monoprix).;aeroporto;1
O Hotel Novanox é uma boa proposta de custo-benefício, por se tratar de um hotel 3 estrelas e nível de limpeza muito bom para os padrões franceses. A equipe da recepção é prestativa: nos ajudaram no deslocamento e boas dicas para passeios. A localização é boa, há uma estação de metrô próxima, a região é a da Torre de Montparnasse.;limpeza;1
O atendimento é razoável, achei a estrutura um pouco ruim (as fotos do site enganam) e o ar condicionado quente não funcionava. Quanta ao serviço de lavanderia, achei meio desorganizado, pegaram minha toalha por engano para lavar, alegaram não ter como encontrá-la e me ofereceram uma do hotel... Pontos positivos: bem localizado, ótimo café da manhã, água quente no chuveiro (na pia, não), wi-fi no quarto e dava pra usar o telefone pra pedir delivery, sem pagar uma taxa muito cara.;lavanderia;1
o hotel é perfeito. excelente recepçao, excelente quarto (banheiro grande). O hotel fica em uma rua bem movimentada, com várias bares e cafés. O café da manha do hotel é bem caro, 19 euros. Nao vale a pena, porque na frente do mesmo há umsa 3 cafeterias que servem excelentes cafés da manha por preços muito mais acessíveis.  Alem disso, o hotel fica em frente a uma estaçao de metro, ou seja, você vai para qualquer canto de paris rapidamente.;rua;1
Hotel boutique, com excelente localização, serviço super prestativo e ultra atencioso (pasmem! lieberaram generosos early check-in e late chek-out), quartos e banheiro muito confortáveis e espaçosos (raro em NY), interessante sistema de buffet de café da manha e happy hour inclluidos.  Super recomendável!;localização;1
Fiquei num quarto quádruplo, somente para dormir e no outro dia pela manhã ir para o Aeroporto. As instalações do quarto eram um pouco antigas, a roupa de cama (edredon) tinha aspecto de suja. O chuveiro era bastante velho, demorou para conseguir achar o ponto em que ele esquentasse. Quanto ao café da manhã, não deu para usufruir pois começava a ser servido somente às 7h e precisamos sair 6h.;chuveiro;0
Tem um parque de diversões dentro do hotel. A montanha russa é legal, mas se quiser adrenalina vá a do Hotel Sahara, que fica quase em frente, pois é irada. A localização é excelente e o custo também se comprado com relativa antecedência. O quarto normalmente possui duas camas grandes, padrão americano. O estacionamento é gratuito.;localização;1
Definitivamente, depois de muitos hotéis e viagens ao redor do mundo, esse foi escolhido como o pior hotel de todos que eu ja fiquei.  Péssimo atendimento, sem wifi, quartos sujos, cobranças indevidas e muito mais!! NUNCA FIQUEM NESSE HOTEL!! Mesmo sendo um hotel barato, não vale nem 10 dólares...Sera uma dor de cabeça caso você precise de qualquer coisa deles....  Lamentável,;atendimento;-1
Hotel situado em local estratégico para compras e acesso à movida, revelou-se porém bastante ´básico na oferta de conforto para uma estadia de uma semana. Limpo, com quartos renovados, mas televisão com oferta muito limitada. Esperava-se pelo menos vídeo. Por duas vezes ficamos bloqueadas no nosso andar por avaria do ascensor. Restaurante e oferta de pequeno almoço decepcionante para hotel de quatro estrelas. Serviço amável mas pouco eficiente. Atenção: paguei antecipadamente navette de transporte para o o aeroporto JFK,(23 USD) mas por má gestão da reserva, fui obrigada a pagar novamente ao táxi que me transportou e que me aguradava à mesma hora: 50 USD! Fi-lo para não perder o avião.  Desaconselho vivamente a permanência neste hotel onde não tenciono regressar.  M. Luisa Maia;serviço;0
Em primeiro lugar dizer que é um hotel 4 estrelas com serviço de 5 estrelas! Ótima localização, 2 minutos a pé do metro St-Agustin, próximo das ruas mais baladas de Paris. Quartos não muito grandes mas confortáveis e bem decorados. Boa limpeza e café da manhã bem servido! Os concierges são excelentes, dão ótimas dicas e ajudam com que o hospéde precisar! Em especial monsier Denis e Pascal. Recomendo sempre!;hotel;1
Eu e minha esposa ficamos de 17/09 a 27/10 e adoramos o hotel com sua localização, limpeza e serviço de congierge, existe a necessidade de deixar a bagagem com o maleiteiro do hotel (2 dolares por mala), mas conseguimos adiantar o check-in para as 13 horas sem traumas, de resto a cama era muito confortável voltarei a me hospedar qdo voltar para NY.;limpeza;1
"Recomendo o hotel, a localização é muito boa (próxima da estação Gare Du Nord, para quem quer ir ou vir pelo Eurostar, e também para ir e vir para o Aeroporto Charles de Gaulle por trem RER; e para andar a pé para as mais importantes atrações de Paris). É também muito próxima de estações de Metrô cujas linhas levam as estações Louvre e Champs Eliseés. O serviço também é excelente, funcionários simpáticos e quartos reformados no estilo parisiense de ser. Recomendo definitivamente.";funcionários;1
Sempre fico no Bonaparte, desde minha ida a Paris em 1993, recomendo pela localização, serviço e atendimento. Perfeito. Café da manhã tipicamente francês, chocolate quente com croissant, sempre fresco. Quartos espaçosos e confortáveis. Internet wi-fi e uma equipe sempre disposta a te atender da melhor forma possível.;atendimento;1
Hotel bem localizado, próximo a Times Square. Quarto grande e limpo, com roupas de cama razoáveis e toalhas de banho muito pequenas. Sentimos falta de um frigobar. No banheiro também não tinha box, e sim um plástico por fora da banheira que contribuía para molhar todo o banheiro. O Café da manhã salvou o hotel no meu ponto de vista, pois era muito bom, considerando o padrão americano. Equipe do hotel não poderia ser mais antipática.;toalha;0
Gostei muito do hotel Arioso. Muito bom atendimento, tanto ao solicitar as reservas, quanto a recepcao. Hotel bem localizado, silencioso, apartamentos muito limpos e pessoal simpatico e atencioso. Muto satisfeito com a educacao, simpatia e disponibilidade do pessoal em todas as etapas de nossa estadia. Parabens.;apartamento;1
Apartamento muito bom, espaçoso, confortavel e completo com toda a estrutura necessaria. A avaliação baixa para serviço, deve-se apenas a ser um Flat e ter poucos serviços, o que ja sabiamos.  Localização a 300 metros da linha mais proxima de metro e a +- 500 metros de outras duas linhas, o que tambem considero bom.;apartamento;-1
Eu e minha colega reservamos um quarto duplo, por telefone, com um mês de antecedência, para fazer um curso em Poa. Quando chegamos ao hotel, perto das 22:00, fomos informadas de que a reserva não estava confirmada!Então nos arrumaram um quarto com somente uma cama de casal, e não havia ninguém da manutenção ou alguém com vontade para colocar uma cama extra no quarto. Resultado: tivemos que aceitar, pois não havia como procurar outro hotel aquela hora. O hotel é em um prédio muito antigo e necessita de reforma urgentes, o teto parecia que ia cair na nossa cabeça. No outro dia nos mudaram de quarto, e é claro que nós mesmas que tivemos que fazer esta mudança, então o problema foi outro, não conseguimos tomar banho direito, pois só havia uma regulagem no chuveiro: quente, num dia quente! As condições deste banheiro eram piores do que o primeiro. Solicitamos falar com a gerente, mais de cinco vezes. No entanto, não fomos atendidas! Allém de tudo isso, é claro, há o barulho da rua, dia e noite, insuportável!! O hotel é pessimo, tanto em atendimento quanto em acomodações. Não recomendo a ninguém!;chuveiro;0
A localização é realmente imbatível, mas os quartos sao velhos e sujos, tinha nojo de dormir naquele colchão. Tinha uma senhora que servia o café da manha que era insuportável, num dos dias estava tomando café da manha com meu marido e ela deixou cair uma sache de manteiga no chão no momento que estava limpando as mesas. Ela achou que o meu marido havia derrubado no chão e pegou o pote e esfregou no nariz dele. Típica educação francesa. Fiquei impressionada...;colchão;-1
Estive hospedada no hotel por uma semana com minha mãe (70 anos) e filha (5 anos). Gostei muito do quarto e banheiros espaçosos, a cozinha equipada e as camas e roupas de camas maravilhosas - limpas e macias. O atendimento foi impecável! Uma excelente opção para New York, principalmente, em virtude da cozinha em que pudemos fazer as comidas que minha filha gosta e tomar belos cafés da manhã. Com certeza, retornarei a este hotel quando voltar a New York.;atendimento;1
O hotel tem uma excelente localização, fica a 200 metros da Gare de Lyon e próximo ao quartier da Bastille. Entretanto, não vale a pena, os quartos são apertados, especialmente os triplos, e a limpeza muito precária. O banheiro estava sujo, com resíduos em vários cantos da banheira, da pia e do chão. Os ralos estavam, inclusive, entupidos e o chuveiro não ficava fixo de jeito nenum, dificultando o banho de ducha. Resultado: mudamos de hotel no dia seguinte.;chuveiro;-1
O hotel eh excelente! Ótima localização, perto dos melhores hotéis e balada. No entanto, a wifi eh péssima, nao tem no quarto e quase nao pega no lobby. Bem servido de opções para alimentação e a balada do hotel brand eh uma boa opção. Ponto negativo: o banheiro alaga no banho de chuveiro. Piscina muito boa e animada, com dj. Ambiente para jovens e familas. Mas no geral, melhor custo beneficio da cidade;piscina;1
ótima localização, bem no meio da Strip. ótimo custo benefício. piscina animada. Os banheiros poderiam ser mais novos, mas atendem as expectativas.Fiquei na parte mais antiga. só não gostei de uma coisa, na sexta-feira, meu último dia de estadia, eles fecharam a piscina as 16:00 para um evento particular ... não achei legal fechar a piscina tão cedo logo numa sexta-feira, mas no mais, foi tudo ótimo.;localização;1
Hotel muito bem localizado, há 4 quadras do central park e a 5 da times square! Do lado da estacao de metro e muito perto de outras estações e linhas diferentes.  Próximo de restaurantes ótimos (Ruth Cris, serafina, fig & olive...)  O nosso quarto era pequeno, com cama queen, mas muito confortável! A internet e gratuita no lobby e tem um bar/café que auxilia antes de sair;quarto;1
O acesso ao quarto é traumatizante! Vê-se buracos pelas paredes e chão. Uma escada em curva estreita, em que mal cabe uma mala. Não há elevador (já previsto em Paris). Banheiro minúsculo prara banho e uso sanitário (o box mede 50X50cm!). Reservamos prara 6 dias e só conseguimos ficar um. Á localização é ótima, mas impossível para quem quer um mínimo de conforto. Pelo mesmo preço encontramos outro hotel muito melhor.;escada;-1
Hotel de Negócios com ótima localização(54W x 6ª Av.), ótimo serviço de Concierge. Muito conservado e com limpeza e manutenção nota 10, os quartos são enormes para o padrão NY. O Café da manhã pago a parte custa U$S 28,00 não compensa exceto se a sua empresa pagar. O WI-FI é pago a parte, infelismente.;limpeza;1
Tradicional mas um pouco ultrapassado hotel em boa localização no centro financeiro da cidade de Porto Algre Ótimo atendimento, mas quartos necessitando modernização. A falta de espaço do banheiro é um problema que segue incomodando a todos. Mesmo assim, recomendo o hotel.;localização;-1
O hotel é charmoso e aconchegante. Tem um ótimo café da manhã e um bom atendimento. Apenas os garçons do restaurante que se atrapalham qdo não falamos em francês. A localização é perfeita, apenas uma quadra da Champs Elysses, sendo possível fazer todas as compras caminhando. Do Arco do Triunfo a maravilhosa roda gigante tudo se torna perto. Recomendo o hotel, nota 10!!!;hotel;1
Hotel aconchegante, básico, sem complicação e com ótima localização. São muito atenciosos. Todas as manhãs deixam pendurado na porta o jornal New York Times e no fim da tarde deixam no quarto cookies com gotas de chocalates.  Room Tip: O apartamento do tipo petit é realmente bem pequeno mas existem outros mais espaços a um custo maior...;hotel;1
Tudo super bom, excelente atendimento, mas se vc é como eu, Brasileiro que compra no Amazon e manda entregar no hotel, cuidado: este hotel cobra taxas absurdas para receber os pacotes e em alguns casos tem que brigar bastante para não pagá-las - a boa coisa é que toda a vez que vc briga, vc fala para eles que podem ficar com o package e eles voltam atrás. Quartos excelentes e localização fora de série.;atendimento;1
Os quartos são ótimos, grandes, arejados, limpíssimos. Localização previlegiada,perto de metrô, drogaria, boas cafeterias, restaurantes. Pontos turísticos como Time Square, Central Park, Rockefeller Center dá para ir a pé. Linda vista do quarto para a cidade. Cama confortável, colchão não dá nor nas costas, muito bom!!! Me hospedaria nele novamente com certeza!!!;localização;1
Hotel bem localizado, no centro de Porto Alegre, próximo ao Mercado Municipal e a Casa Mario Quintana. Os apartamentos são bons, limpos, embora sejam muito escuros. Café da manhã bom, com variedades e qualidade. Funcionários atenciosos.;funcionários;0
