inputs;aspects;start_position;end_position
A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!;quarto;512;518
A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.;hotel;348;353
A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.;cafeteira;218;227
A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.;cama;299;303
A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.;quarto;231;237
A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.;hotel;98;103
A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.;elevador;142;150
A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.;escada;133;139
A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.;quarto;40;46
A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.;recepção;180;188
A vizinhança é esquisita e o quarto do hotel é muito pequeno. O cobertor da cama cheirava a urina e o banheiro também fedia. Os empregados do hotel são extremamente mal-educados e grossieros. Não recomendo de maneira alguma!;hotel;39;44
A vizinhança é esquisita e o quarto do hotel é muito pequeno. O cobertor da cama cheirava a urina e o banheiro também fedia. Os empregados do hotel são extremamente mal-educados e grossieros. Não recomendo de maneira alguma!;cama;76;80
A vizinhança é esquisita e o quarto do hotel é muito pequeno. O cobertor da cama cheirava a urina e o banheiro também fedia. Os empregados do hotel são extremamente mal-educados e grossieros. Não recomendo de maneira alguma!;quarto;29;35
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;atendimento;270;281
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;hotel;54;59
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;internet;119;127
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;tv;301;303
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;elevador;338;346
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;localização;74;85
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;quarto;193;199
Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;café da manhã;221;234
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";hotel;26;31
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";localização;11;22
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";café da manhã;187;200
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";limpeza;323;330
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";serviço;147;154
"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";serviço de quarto;297;314
Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.;hotel;434;439
Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.;cama;341;345
Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.;preço;157;162
Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.;quarto;225;231
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.;atendimento;80;91
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.;hotel;115;120
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.;localização;18;29
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.;recepção;217;225
Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.;hotel;13;18
Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.;lojas;365;370
Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.;localização;227;238
Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.;quarto;122;128
Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.;café da manhã;204;217
Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.;recepção;22;30
Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.;cidade;159;165
Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.;localização;14;25
Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.;quarto;197;203
Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.;limpeza;270;277
Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.;serviço;259;266
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;hotel;472;477
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;funcionários;314;326
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;horário;423;430
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;elevador;92;100
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;localização;14;25
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;quarto;120;126
Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.;limpeza;277;284
