inputs;aspects;start_position;end_position
Apesar dos quartos serem bem pequenos, achei limpos e possibiltam sono agradável.;No aspect;-1;-1
É muito distante dos pontos turísticos de Paris, apesar de estação de metro próximo, perde-se muito tempo com deslocamento.;No aspect;-1;-1
Vi até um testando a fechadura de um quarto para ver se não estava aberto...;No aspect;-1;-1
Dá certa insegurança...;No aspect;-1;-1
Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.;atendimento;0;11
Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.;quarto;25;31
Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.;café da manhã;63;76
Atendimento espetacular, quartos confortáveis e limpos, um bom café da manhã, supermercado em frente, metrô à 200 m, elevadores funcionado bem.;elevador;117;125
Passamos 4 excelentes noites e voltaremos à Paris um dia e pretendemos ir para lá novamente, pois a relação custo-benefício é recompensadora.;custo-benefício;108;123
Eu , mulher e filha ficamos muito satisfeitos com o hotel.;hotel;52;57
Room Tip: Ficamos no 22, de frente para a rua, que é tranquila e segura, pois é próximo da residência oficial...;rua;42;45
Banheiro sem box com chuveiro que vazava água pelas juntas.;chuveiro;21;29
O colchão era muito ruim e deformado e havia muito barulho nos corredores.;colchão;2;9
O chão do quarto estava bastante sujo e engordurado.;No aspect;-1;-1
Não trocaram as toalhas e tinha um barata no banheiro.;No aspect;-1;-1
Apesar do hotel ficar bem perto de uma estação de metrô, o local da cidade não é bom.;No aspect;-1;-1
Boa localização, em bairro silencioso.;localização;4;15
Bom café da manhã e atendimento atencioso.;café da manhã;4;17
Bom café da manhã e atendimento atencioso.;atendimento;20;31
Em relação aos quartos, mesmo para o padrão proposto pela rede IBIS, não são minúsculos.;quarto;15;21
Acomodam bem um casal.;casal;16;21
A conexão de Internet funcionou muito bem, mas conta apenas com uma estação comunitária.;internet;13;21
Transporte próximo, metrô a três ruas de distância e trens na Gare Montparnasse.;No aspect;-1;-1
Não utilizamos ônibus.;No aspect;-1;-1
Muitas opções próximas para escolha de restaurantes (não turísticos) , mercado e frutaria.;No aspect;-1;-1
WIFI gratuita.;No aspect;-1;-1
Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...;apartamento;5;16
Bons apartamentos confortaveis e ate grandes para o padrao de Manhattam...funcionarios stressados e muitos deles mal humorados...localizacao boa, proxima a Port Authority e a Times Square..otimas camas e o hotel ao lado da rede Marriot tem na cobertura um dos melhores Nights Clubs de toda Manhattam com vista deslumbrante da city Room Tip: Apartamentos double tem otima area e equipamentos novos...camas excelentes...;cama;196;200
Bateram na porta e minha esposa gritou que tinha alguém dentro do quarto mas mesmo assim sem permissão um funcionário da manutenção do hotel entrou no quarto para pegar um teclado de computado.;hotel;135;140
Mas este não foi o maior problema pois não estamos livres destes deslizes acontecer, o problema maior foi a forma como a chefia da recepção agiu pois, quando fui reclamar, a chefe da recepção simplesmente disse que tinha mandado o funcionário fazer o que fez e que era normal ele entrar nos quartos com hospedes se trocando.;recepção;131;139
Chegamos no Novotel com a certeza que seria tudo bem por se tratar de um 4 estrelas renomado.;No aspect;-1;-1
Fomos bem recebidos e tudo ocorria tranquilamente quando no 3 dia de hospedagem eu tive de sair e minha esposa ficou sozinha no quarto.;No aspect;-1;-1
Neste momento minha esposa estava se trocando e não deu a mínima e entrou de forma apressada e abrupta.;No aspect;-1;-1
Eu retruquei que por enquanto que o quartos estivesse com as diárias pagas pelos hóspedes, os mesmos tinham de respeitar nossa privacidade pois não se entra em quartos de hotel com os hóspedes dentro, citei até a camareira que todas as vezes que estávamos no quarto voltava depois.;No aspect;-1;-1
Achei que a maneira simplória que ela tratou o assunto não foi a de um hotel do nível que esperava encontrar no Novotel.;No aspect;-1;-1
Não posso tolerar o descaso para um problema como este pois quando estamos em um quarto de hotel precisamos ter nossa privacidade preservada e a chefe da recepção tratar o problema da forma que tratou foi realmente repugnante e acho que nunca mais voltarei à um Novotel pois pagamos caro para termos o conforto e a confiabilidade de um hotel renomado e com 4 estrelas.;No aspect;-1;-1
Sabemos que pequenos deslizes podem acontecer mas sei também que têm de ser resolvidos de maneira satisfatória e rápida e não da forma que foi conduzida pela recepçãoo do Novotel pois se fosse da maneira que ela disse a camareira não precisaria bater, simplesmente entraria para fazer a arrumação quer estivéssemos dormindo ou não.;No aspect;-1;-1
Fiquei muito decepcionado com a maneira que o Hotel se posicionou perante o problema.;No aspect;-1;-1
Com certeza, a pior experiência que tivemos em um Hotel.;hotel;50;55
Ele esta em Péssimas condições de conservação, desde a ducha do banheiro que nao saia água, as paredes descascadas.;ducha;55;60
Funcionários despreparados e nada simpáticos.;funcionários;0;12
No check out, queriam nos cobras € 100 , dizendo que quebramos a tampa do vaso sanitário, e ainda diziam que teria sido das duas suites( estávamos em quarto conjugado)... Um completo absurdo, nem sequer utilizamos o 2.;quarto;150;156
Banheiro e mto menos quebramos nada.;No aspect;-1;-1
A recepcionista levantou a voz afirmando que teríamos que pagar SIM, e que no caso chamaria a camareira para resolver conosco... Um completo despreparo e descaso pelo hospede.;No aspect;-1;-1
A camareira obviamente Nao apareceu e depois da longa discussao, concordaram que estavam errados... UM DESASTRE TOTAL!!!!!!!;No aspect;-1;-1
O Room Service alem de Nao ter opções, encerra mto cedo.;No aspect;-1;-1
NAO RECOMENDO A NINGUÉM!!!;No aspect;-1;-1
nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!;ducha;88;93
nao e nem uma estrela, nao tem iluminacao, tapete dos guardo super sujo, quarto escuro, ducha pra tomar banho segurando com uma amo e a outra se ensaboando, o pessoal, nem me fale, um recepcionista que so fica na net conversando, ingles ninguem fala, so mesmo o frances, eita que hotel e que asssitencia aos clientes, cxonselho, FUJAM DISTO!!!!;hotel;280;285
Comentar o que e de que?;No aspect;-1;-1
nao sejam enrolados, nao acredite na propaganda disto.;No aspect;-1;-1
Estivemos hospedados no hotel no mês de abril/2012 e só temos elogios a fazer.;hotel;24;29
Demorei muito pra fazer essa avaliação, mas certamente não poderia deixar de fazê-lo.;No aspect;-1;-1
O hotel é muito bem localizado e as pessoas são extremamente gentis.;No aspect;-1;-1
Agradecemos, nominalmente às senhoritas Carolin, Juicy e Jesica que sempre estiveram dispostas a nos atender com total presteza.;No aspect;-1;-1
Certamente retornarei em muito breve!;No aspect;-1;-1
É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!;café da manhã;66;79
É aconchegante, limpo, mas não vale o preço de 4 estrelas, pois o café da manhã é bastante fraco, com quartos muito pequenos e banheiro mínimo!;quarto;102;108
A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.;localização;2;13
A localização, para quem gosta de estar próximo às grandes lojas, é bom - pois fica a 10 minutos a pé da Galeries Lafayette e também da Champs Elise.;lojas;59;64
Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.;apartamento;13;24
Room Tip: Os apartamentos de andar mais altos e do final do corredor são um pouco melhores.;corredor;60;68
É um hotel de 4 estrelas, mas não parece.;No aspect;-1;-1
A conexão wifi deve pegar em todos os quartos.;quarto;38;44
Deveriam ter serviço de laundromatic self service.;serviço;13;20
Eles tem um equipamento bem localizado mas que precisa de reparos.;No aspect;-1;-1
Deve ter frigorbar em todos os quartos e devem repor água todo dia.;No aspect;-1;-1
Carlos;No aspect;-1;-1
Quartos enormes e confortáveis.;quarto;0;6
Funcionários atenciosos.;funcionários;0;12
Buffet do hotel barato e variado.;hotel;10;15
Room Tip: Os apartamentos altos virados para o sul tem vista espetacular para o Paris e o show de águas do Bel...;apartamento;13;24
Em frente a Bellagio e Caesars e vizinho do Paris, no coração da Strip.;No aspect;-1;-1
Ótimo ponto de partida tanto para a parte sul quanto norte da avenida.;No aspect;-1;-1
Custo benefício excelente se comparado a seus vizinhos.;No aspect;-1;-1
Não tem o nome de alguns outros, mas sem dúvida vale indicação.;No aspect;-1;-1
Em se tratando de Nova York, é um preço bem razoável.;preço;34;39
A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.;localização;2;13
A localização é boa (perto da estação Grand Central), os quartos tem um tamanho muito bom, a decoração é clean.;quarto;57;63
O único porém é que o atendimento da recepção não é muito amigável e em 3 dias que fiquei lá, não repuseram o shampoo e o sabonete!;recepção;37;45
O banheiro é muito bonito, aconchegante.;No aspect;-1;-1
A sorte é que eu comprei shampoo e sabonete por lá mesmo, no Walmart....;No aspect;-1;-1
Room Tip: Peça quartos perto do elevador.;No aspect;-1;-1
O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).;hotel;2;7
O Hotel é sujo e a noite da para assistir ratos comendo do lado de fora da janela (veja a foto da janela do meu quarto).;quarto;112;118
Pasme que a janela do chuveiro tem visão para o corredor do Hotel e para a escada de incêndio.;chuveiro;22;30
O estacionamento é um roubo ( 57 dólares).;estacionamento;2;16
O local do café da manhã são dois quartos de porta aberta e cabe apenas 6 pessoas.;café da manhã;11;24
Este foi um dos piores hotéis que já me hospedei.;No aspect;-1;-1
Se puder chamar aquilo de quarto, pois cabe você ou as malas.;No aspect;-1;-1
Basta abrir a persiana do corredor que podem assistir você tomando banho (Veja a foto).;No aspect;-1;-1
Não sei como o Tripadvisor premiou este hotel.;No aspect;-1;-1
Realmente é jogar dinheiro fora.;No aspect;-1;-1
Room Tip: A dica que vou adicionar a quem quer conhecer New York e Manhatan é de hospedar aos redores da cidad...;No aspect;-1;-1
ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..;hotel;5;10
ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..;elevador;56;64
ESTE HOTEL NAO É 3 ESTRELAS E NEM SE PODE DIZER QUE TEM ELEVADOR, POIS O MESMO NAO PARA NO SEU ANDAR, FUNCIONA ASSIM: 2/3 OU 3/4, O ELEVADOR PARA NO MEIO ENTRE O 2° E O 3° E DEPOIS VOCE TEM QUE SUBRIR OU DESCER ESCADAS E ESTAS SÃO GRANDES..;escada;211;217
HOTEL SEM ACESSIBILIDADE, IMPOSSIVEL PARA PESSOAS QUE NAO PODEM SUBIR ESCADAS OU QUE TENHAM MALAS .;No aspect;-1;-1
NÃO RECOMENDO A NENHUM VIAJANTE..;No aspect;-1;-1
Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.;hotel;5;10
Este hotel recomendo para quem nunca esteve em New York , é perto de tudo voce consegue se locomover sem precisar usar onibus ou táxis , é próximo ao ebentos da times square e de todas as linhas de metrô , o Hotel tem um excelente serviço de concierge e a estrutura é boa em relação aos outros hotés de New York.;serviço;231;238
Pesquise bem em vários sites este mesmo hotel você pode achar diferenças significativas .;No aspect;-1;-1
Estive com minha familia hospedado neste hotel.;hotel;41;46
Muito precário o serviço.;serviço;17;24
A unica coisa que funciona bem é a internet.;internet;35;43
Sujo e pouca higienie.;No aspect;-1;-1
Nao recomendo para ninguém ficamos alérgicos a picada de inseto.;No aspect;-1;-1
Estive no início de janeiro hospedada no Hotel Affinia Dumont e voltei totalmente satisfeita.;hotel;41;46
Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.;quarto;3;9
Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.;cama;30;34
Os quartos são excelentes, as camas maravilhosas, além da opção de escolher os travesseiros.;travesseiro;79;90
Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.;apartamento;17;28
Sem contar que o apartamento conta com uma sala e uma cozinha completamente equipada.;cozinha;54;61
Osatendentes são extremamentes simpáticos e atenciosos, merecendo destaque o Gilbert que faz com que você sinta como se o conhecesse há anos.;No aspect;-1;-1
Room Tip: Vale a pena pegar um apartamento com sala e cozinha.;No aspect;-1;-1
O café da manhã oferecido só tem muffins (de muitos sabores).;café da manhã;2;15
É lindo o hotel e muito bem localizado.;hotel;10;15
Estive no Yotel em julho/2011.;No aspect;-1;-1
Novinho em folha, cabines sao pequenas mas confortáveis.;No aspect;-1;-1
Em cada andar, uma copa contendo forno de microondas, frigobar, maquina de café capuccino, chá , chocolate, água , gelo...tudo Free à disposição dos hóspedes.;No aspect;-1;-1
Há tbem maquina para comprar refrigerantes.;No aspect;-1;-1
O atendimento foi horrível.;atendimento;2;13
Tínhamos reservado um quarto pra três pessoas e o quarto que nos foi dado mal cabia 2 pessoas.;quarto;22;28
Estivemos lá em 2008.;No aspect;-1;-1
Ficamos no mesmo prédio do bistrot, não conseguíamos dormir por causa do barulho, as paredes são tão finas que parece que a pessoa que sobe a escada está entrando no teu quarto.;No aspect;-1;-1
Tivemos a impressão que por sermos brasileiras, nos foi dado o pior quarto e sem a menor preocupação de nos antender ....;No aspect;-1;-1
Felizmente, no dia seguinte, conseguimos um hotel bem melhor nas proximidades e nos mudamos.;No aspect;-1;-1
Pelo menos, eles nos devolveram o dinheiro que já havíamos pago pelas estadias que não usufruímos.;No aspect;-1;-1
Não recomendo pra ninguém !!!!;No aspect;-1;-1
Muito menos pra brasileiros ...somos discriminados lá !;No aspect;-1;-1
Eu e minha filha ficamos num quarto no sótão, mínimo, como uma caixa de papel, e qulaquer movimento no quarto ao lado era ouvido dentro do nosso quarto.;quarto;29;35
As cortinas estavam empoeiradas embora o quarto e o banheiro estivessem limpos.;cortina;3;10
Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes;localização;0;11
Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes;hotel;15;20
Localização do hotel é ruim, numa rua sem movimento algum e desinteressante, distante até mesmo da Tour Montparnasse, e fora da rota de bares e restaurantes;rua;34;37
Staff deu várias informações erradas para nós.;No aspect;-1;-1
O hotel é barulhento, nao com o barulho da rua mas dos proprios hospedes.;rua;43;46
Eu me senti enganada pelas fotos no site.;No aspect;-1;-1
O hotel é bem localizado e o pessoal da recepcao é muito atencioso porem o hotel esta em reforma e a manutencao é pessima.;No aspect;-1;-1
Os quartos sao escuros e o servico de limpeza deixa a desejar.;No aspect;-1;-1
Banheiro com mofo.;No aspect;-1;-1
Apesar da reforma, o carpete nao foi trocado!;No aspect;-1;-1
O cafe da manha é fraco, mas seria satisfatorio nao fosse a falta de cuidado com os alimentos.;No aspect;-1;-1
Pao descoberto e encostando na parede mofada.;No aspect;-1;-1
Eu nao tive coragem de tomar cafe da manha ali apesar de ja estar incluido na minha diaria.;No aspect;-1;-1
Qualquer movimento no quarto ao lado ou a cima, voce escuta.;No aspect;-1;-1
Eu nao volto e nao recomendo.;No aspect;-1;-1
Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.;atendimento;58;69
Excelente como todos hoteis da rede Double Tree, conforto atendimento e localização no coração da Times Square.;localização;72;83
Room Tip: Todos os quartos são bons e silenciosos as janelas são blindadas evitando som externo;quarto;19;25
Perto de tudo e de locais estratégicos, como teatro, lojas, metro.;No aspect;-1;-1
Voltaremos assim que tivermos chance!;No aspect;-1;-1
Recomendo!;No aspect;-1;-1
Excelente localização.;localização;10;21
Ja estive nesse hotel por 3 vezes.;hotel;16;21
Ponto negativo: Nao sai agua do chuveiro e sim um spray de agua...;chuveiro;32;40
Preparado para receber brasileiros que nao dominam o idioma ingles, os funcionarios tem paciencia para tentar compreender.;No aspect;-1;-1
Melhor vaso sanitario que ja usei na vida, o sistema de descarga parece uma bomba de sucção!!!;No aspect;-1;-1
Queira uma dessas na minha casa!;No aspect;-1;-1
O Buffet do hotel é muito fraco!;No aspect;-1;-1
Visite outros principalmente o do Aria e Bellagio;No aspect;-1;-1
O personnel de housekeeping parece ser agora terceirizado e a limpeza dos utensilios de cozinha deixa um pouco a desejar.;limpeza;62;69
Room Tip: Todos os quartos são bons, espaçosos, excelente iluminação e decoração clean;iluminação;58;68
Excelente location no East side.;No aspect;-1;-1
Excelente personnel!;No aspect;-1;-1
Dá para ir ao Central Park andando.;No aspect;-1;-1
Bem próximo tem um excelente supermercado Food Emporium.;No aspect;-1;-1
Ao sair do quarto não deixe de avisar no front desk que vc gostaria de ter o quarto arrumado.;No aspect;-1;-1
O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.;hotel;2;7
O hotel tem otima localização a uma quadra e meia da Times Square, delicates proximas para as compras de cafe da manhã e os restaurantes da 45th.;localização;18;29
Fomos muito bem atendidos durante todo o periodo com exceção dos serviços de Concierge.;serviço;65;72
Ficamos no periodo de 25.01.12 a 10.02.12 em uma reserva de ultima hora.;No aspect;-1;-1
O qaurto era confortavel e possui uma mini-cozinha com geladeira e forno de micro-ondas pro cafe da manhã.;No aspect;-1;-1
Recomendo e ficaria la novamente.;No aspect;-1;-1
Foi um hotel com menor custo que encontrei em NYC, que fosse limpo e bem localizado.;hotel;7;12
O cafe da manha era mt bom, assim como atendimento do bar.;atendimento;39;50
A recepção de madrugada era pessima.;recepção;2;10
voltaria pelo preço, mas pensaria desse pessimo serviço de recepção.;preço;14;19
Fiquei no Pod 51 em NYC em maio de 2012.;No aspect;-1;-1
O banheiro foi compartilhado, estava sempre limpo e não tinha filas.;No aspect;-1;-1
Sempre que precisava estava vazio e limpo.;No aspect;-1;-1
Pedi para me acordarem para pegar o aviao e não fizeram.;No aspect;-1;-1
Estava esperando o transfer para aeroporto e um cara, q trabalhava no hotel me perguntou o q estava fazendo ali.;No aspect;-1;-1
Falei q estava esperando o transfer e ele perguntou qual era meu quarto.;No aspect;-1;-1
Acho q ele pensou e não fosse hospede.;No aspect;-1;-1
Foi grosso e bem antipatico.;No aspect;-1;-1
